Image,Angle
25OctoberData//raw_images\raw_image_000001.tiff,0
25OctoberData//raw_images\raw_image_000002.tiff,3.6
25OctoberData//raw_images\raw_image_000003.tiff,7.2
25OctoberData//raw_images\raw_image_000004.tiff,10.8
25OctoberData//raw_images\raw_image_000005.tiff,14.4
25OctoberData//raw_images\raw_image_000006.tiff,18
25OctoberData//raw_images\raw_image_000007.tiff,21.6
25OctoberData//raw_images\raw_image_000008.tiff,25.2
25OctoberData//raw_images\raw_image_000009.tiff,28.8
25OctoberData//raw_images\raw_image_000010.tiff,32.4
25OctoberData//raw_images\raw_image_000011.tiff,36
25OctoberData//raw_images\raw_image_000012.tiff,39.6
25OctoberData//raw_images\raw_image_000013.tiff,43.2
25OctoberData//raw_images\raw_image_000014.tiff,46.8
25OctoberData//raw_images\raw_image_000015.tiff,50.4
25OctoberData//raw_images\raw_image_000016.tiff,54
25OctoberData//raw_images\raw_image_000017.tiff,57.6
25OctoberData//raw_images\raw_image_000018.tiff,61.2
25OctoberData//raw_images\raw_image_000019.tiff,64.8
25OctoberData//raw_images\raw_image_000020.tiff,68.4
25OctoberData//raw_images\raw_image_000021.tiff,72
25OctoberData//raw_images\raw_image_000022.tiff,75.6
25OctoberData//raw_images\raw_image_000023.tiff,79.2
25OctoberData//raw_images\raw_image_000024.tiff,82.8
25OctoberData//raw_images\raw_image_000025.tiff,86.4
25OctoberData//raw_images\raw_image_000026.tiff,90
25OctoberData//raw_images\raw_image_000027.tiff,93.6
25OctoberData//raw_images\raw_image_000028.tiff,97.2
25OctoberData//raw_images\raw_image_000029.tiff,100.8
25OctoberData//raw_images\raw_image_000030.tiff,104.4
25OctoberData//raw_images\raw_image_000031.tiff,108
25OctoberData//raw_images\raw_image_000032.tiff,111.6
25OctoberData//raw_images\raw_image_000033.tiff,115.2
25OctoberData//raw_images\raw_image_000034.tiff,118.8
25OctoberData//raw_images\raw_image_000035.tiff,122.4
25OctoberData//raw_images\raw_image_000036.tiff,126
25OctoberData//raw_images\raw_image_000037.tiff,129.6
25OctoberData//raw_images\raw_image_000038.tiff,133.2
25OctoberData//raw_images\raw_image_000039.tiff,136.8
25OctoberData//raw_images\raw_image_000040.tiff,140.4
25OctoberData//raw_images\raw_image_000041.tiff,144
25OctoberData//raw_images\raw_image_000042.tiff,147.6
25OctoberData//raw_images\raw_image_000043.tiff,151.2
25OctoberData//raw_images\raw_image_000044.tiff,154.8
25OctoberData//raw_images\raw_image_000045.tiff,158.4
25OctoberData//raw_images\raw_image_000046.tiff,162
25OctoberData//raw_images\raw_image_000047.tiff,165.6
25OctoberData//raw_images\raw_image_000048.tiff,169.2
25OctoberData//raw_images\raw_image_000049.tiff,172.8
25OctoberData//raw_images\raw_image_000050.tiff,176.4
25OctoberData//raw_images\raw_image_000051.tiff,180
