Image,Angle
4thOCtober_image//raw_images\raw_image_0.tiff,0.0
4thOCtober_image//raw_images\raw_image_1.tiff,3.6
4thOCtober_image//raw_images\raw_image_2.tiff,7.2
4thOCtober_image//raw_images\raw_image_3.tiff,10.8
4thOCtober_image//raw_images\raw_image_4.tiff,14.4
4thOCtober_image//raw_images\raw_image_5.tiff,18.0
4thOCtober_image//raw_images\raw_image_6.tiff,21.6
4thOCtober_image//raw_images\raw_image_7.tiff,25.2
4thOCtober_image//raw_images\raw_image_8.tiff,28.8
4thOCtober_image//raw_images\raw_image_9.tiff,32.4
4thOCtober_image//raw_images\raw_image_10.tiff,36.0
4thOCtober_image//raw_images\raw_image_11.tiff,39.6
4thOCtober_image//raw_images\raw_image_12.tiff,43.2
4thOCtober_image//raw_images\raw_image_13.tiff,46.800000000000004
4thOCtober_image//raw_images\raw_image_14.tiff,50.4
4thOCtober_image//raw_images\raw_image_15.tiff,54.0
4thOCtober_image//raw_images\raw_image_16.tiff,57.6
4thOCtober_image//raw_images\raw_image_17.tiff,61.2
4thOCtober_image//raw_images\raw_image_18.tiff,64.8
4thOCtober_image//raw_images\raw_image_19.tiff,68.4
4thOCtober_image//raw_images\raw_image_20.tiff,72.0
4thOCtober_image//raw_images\raw_image_21.tiff,75.60000000000001
4thOCtober_image//raw_images\raw_image_22.tiff,79.2
4thOCtober_image//raw_images\raw_image_23.tiff,82.8
4thOCtober_image//raw_images\raw_image_24.tiff,86.4
4thOCtober_image//raw_images\raw_image_25.tiff,90.0
4thOCtober_image//raw_images\raw_image_26.tiff,93.60000000000001
4thOCtober_image//raw_images\raw_image_27.tiff,97.2
4thOCtober_image//raw_images\raw_image_28.tiff,100.8
4thOCtober_image//raw_images\raw_image_29.tiff,104.4
4thOCtober_image//raw_images\raw_image_30.tiff,108.0
4thOCtober_image//raw_images\raw_image_31.tiff,111.60000000000001
4thOCtober_image//raw_images\raw_image_32.tiff,115.2
4thOCtober_image//raw_images\raw_image_33.tiff,118.8
4thOCtober_image//raw_images\raw_image_34.tiff,122.4
4thOCtober_image//raw_images\raw_image_35.tiff,126.0
4thOCtober_image//raw_images\raw_image_36.tiff,129.6
4thOCtober_image//raw_images\raw_image_37.tiff,133.20000000000002
4thOCtober_image//raw_images\raw_image_38.tiff,136.8
4thOCtober_image//raw_images\raw_image_39.tiff,140.4
4thOCtober_image//raw_images\raw_image_40.tiff,144.0
4thOCtober_image//raw_images\raw_image_41.tiff,147.6
4thOCtober_image//raw_images\raw_image_42.tiff,151.20000000000002
4thOCtober_image//raw_images\raw_image_43.tiff,154.8
4thOCtober_image//raw_images\raw_image_44.tiff,158.4
4thOCtober_image//raw_images\raw_image_45.tiff,162.0
4thOCtober_image//raw_images\raw_image_46.tiff,165.6
4thOCtober_image//raw_images\raw_image_47.tiff,169.20000000000002
4thOCtober_image//raw_images\raw_image_48.tiff,172.8
4thOCtober_image//raw_images\raw_image_49.tiff,176.4
4thOCtober_image//raw_images\raw_image_50.tiff,180.0
4thOCtober_image//raw_images\raw_image_51.tiff,183.6
4thOCtober_image//raw_images\raw_image_52.tiff,187.20000000000002
4thOCtober_image//raw_images\raw_image_53.tiff,190.8
4thOCtober_image//raw_images\raw_image_54.tiff,194.4
4thOCtober_image//raw_images\raw_image_55.tiff,198.0
4thOCtober_image//raw_images\raw_image_56.tiff,201.6
4thOCtober_image//raw_images\raw_image_57.tiff,205.20000000000002
4thOCtober_image//raw_images\raw_image_58.tiff,208.8
4thOCtober_image//raw_images\raw_image_59.tiff,212.4
4thOCtober_image//raw_images\raw_image_60.tiff,216.0
4thOCtober_image//raw_images\raw_image_61.tiff,219.6
4thOCtober_image//raw_images\raw_image_62.tiff,223.20000000000002
4thOCtober_image//raw_images\raw_image_63.tiff,226.8
4thOCtober_image//raw_images\raw_image_64.tiff,230.4
4thOCtober_image//raw_images\raw_image_65.tiff,234.0
4thOCtober_image//raw_images\raw_image_66.tiff,237.6
4thOCtober_image//raw_images\raw_image_67.tiff,241.20000000000002
4thOCtober_image//raw_images\raw_image_68.tiff,244.8
4thOCtober_image//raw_images\raw_image_69.tiff,248.4
4thOCtober_image//raw_images\raw_image_70.tiff,252.0
4thOCtober_image//raw_images\raw_image_71.tiff,255.6
4thOCtober_image//raw_images\raw_image_72.tiff,259.2
4thOCtober_image//raw_images\raw_image_73.tiff,262.8
4thOCtober_image//raw_images\raw_image_74.tiff,266.40000000000003
4thOCtober_image//raw_images\raw_image_75.tiff,270.0
4thOCtober_image//raw_images\raw_image_76.tiff,273.6
4thOCtober_image//raw_images\raw_image_77.tiff,277.2
4thOCtober_image//raw_images\raw_image_78.tiff,280.8
4thOCtober_image//raw_images\raw_image_79.tiff,284.40000000000003
4thOCtober_image//raw_images\raw_image_80.tiff,288.0
4thOCtober_image//raw_images\raw_image_81.tiff,291.6
4thOCtober_image//raw_images\raw_image_82.tiff,295.2
4thOCtober_image//raw_images\raw_image_83.tiff,298.8
4thOCtober_image//raw_images\raw_image_84.tiff,302.40000000000003
4thOCtober_image//raw_images\raw_image_85.tiff,306.0
4thOCtober_image//raw_images\raw_image_86.tiff,309.6
4thOCtober_image//raw_images\raw_image_87.tiff,313.2
4thOCtober_image//raw_images\raw_image_88.tiff,316.8
4thOCtober_image//raw_images\raw_image_89.tiff,320.40000000000003
4thOCtober_image//raw_images\raw_image_90.tiff,324.0
4thOCtober_image//raw_images\raw_image_91.tiff,327.6
4thOCtober_image//raw_images\raw_image_92.tiff,331.2
4thOCtober_image//raw_images\raw_image_93.tiff,334.8
4thOCtober_image//raw_images\raw_image_94.tiff,338.40000000000003
4thOCtober_image//raw_images\raw_image_95.tiff,342.0
4thOCtober_image//raw_images\raw_image_96.tiff,345.6
4thOCtober_image//raw_images\raw_image_97.tiff,349.2
4thOCtober_image//raw_images\raw_image_98.tiff,352.8
4thOCtober_image//raw_images\raw_image_99.tiff,356.40000000000003
4thOCtober_image//raw_images\raw_image_100.tiff,360.0
4thOCtober_image//raw_images\raw_image_101.tiff,363.6
4thOCtober_image//raw_images\raw_image_102.tiff,367.2
